t,S,I,R
0.0,950,50,0
0.018728507788066766,949,51,0
0.024190304374946344,948,52,0
0.030418648338071844,948,51,1
0.031453124404501216,947,52,1
0.0352157936247939,947,51,2
0.052738221275723876,946,52,2
0.052868978145830366,946,51,3
0.05369436022752361,946,50,4
0.055190809920461395,945,51,4
0.06263242927608684,945,50,5
0.0723920478936373,944,51,5
0.07310544312120369,943,52,5
0.07599541377245715,943,51,6
0.07709845734301313,942,52,6
0.08293287940015379,942,51,7
0.09350472713683392,941,52,7
0.09361386871099996,941,51,8
0.10491974389387565,940,52,8
0.10972345674863973,939,53,8
0.10999078409943414,938,54,8
0.11520269666529397,937,55,8
0.1254552751737663,937,54,9
0.14430324531090494,937,53,10
0.15010703158693123,936,54,10
0.1698193148468538,935,55,10
0.1704520511661069,935,54,11
0.1797132864728141,935,53,12
0.1837596727650729,934,54,12
0.18853686906643588,934,53,13
0.1939353804367209,933,54,13
0.19801009922737128,932,55,13
0.20086123979148204,932,54,14
0.20406574054817359,931,55,14
0.20945967920685557,930,56,14
0.21594222832850343,929,57,14
0.22042768498950893,929,56,15
0.22219229509787475,928,57,15
0.2278311375203874,927,58,15
0.23292868909550432,927,57,16
0.2440789000946321,926,58,16
0.2770061596442281,925,59,16
0.2817465527620178,925,58,17
0.28251577260120514,925,57,18
0.2864417450344636,924,58,18
0.28897799288323067,923,59,18
0.2892769571462726,922,60,18
0.29134058231388443,921,61,18
0.29353948672676394,920,62,18
0.29770193938076195,919,63,18
0.29833404223817517,918,64,18
0.29901558099727044,917,65,18
0.3087946528975052,917,64,19
0.31198097397468105,916,65,19
0.31454475325426495,915,66,19
0.32693695998383576,915,65,20
0.33383705902783745,915,64,21
0.3400541696693398,915,63,22
0.3434916910864,914,64,22
0.3604920254503236,913,65,22
0.3856569263030937,912,66,22
0.38608604839611255,911,67,22
0.38822055479173756,910,68,22
0.4011820771419264,909,69,22
0.4052538709304361,909,68,23
0.40758160329104687,908,69,23
0.41992940151461494,907,70,23
0.4328443211166874,906,71,23
0.4345228973765143,905,72,23
0.4351908734996167,904,73,23
0.43858176583005754,903,74,23
0.4416092990218408,902,75,23
0.44246023814653884,901,76,23
0.44659227743338004,901,75,24
0.44794761634735253,900,76,24
0.45589898863498984,899,77,24
0.4570981227093555,898,78,24
0.4595753373189888,897,79,24
0.460204168570568,896,80,24
0.4625767204886215,895,81,24
0.46971162698818114,894,82,24
0.47026868825071466,893,83,24
0.4735503920484738,892,84,24
0.4744407640108009,892,83,25
0.4818536418370132,891,84,25
0.48404563678267787,890,85,25
