t,S,I,R
0.0,499.0,1.0,0.0
0.6227118724134139,498.0,2.0,0.0
1.414471165235288,497.0,3.0,0.0
2.3333791751109247,496.0,4.0,0.0
2.589543512605074,495.0,5.0,0.0
2.617862644489639,495.0,4.0,1.0
2.784478024536582,495.0,3.0,2.0
3.1991859306607027,494.0,4.0,2.0
3.4006204725482805,493.0,5.0,2.0
3.544350022216234,492.0,6.0,2.0
3.5513039325701814,491.0,7.0,2.0
3.5555395216202417,490.0,8.0,2.0
3.5751699281244864,489.0,9.0,2.0
3.6942982150208103,488.0,10.0,2.0
3.7264939575106593,488.0,9.0,3.0
3.822409147571145,487.0,10.0,3.0
3.8507394108613644,486.0,11.0,3.0
3.877022794456028,485.0,12.0,3.0
3.8875293854943966,484.0,13.0,3.0
3.9183804788629466,483.0,14.0,3.0
3.921019596945429,482.0,15.0,3.0
3.9688576893247145,481.0,16.0,3.0
3.970063179252526,481.0,15.0,4.0
3.985548046768176,481.0,14.0,5.0
4.085703467269754,481.0,13.0,6.0
4.136523124207955,480.0,14.0,6.0
4.148987477243243,479.0,15.0,6.0
4.194909171492524,479.0,14.0,7.0
4.202320666418749,479.0,13.0,8.0
4.328448890819058,478.0,14.0,8.0
4.349974068955532,477.0,15.0,8.0
4.42564303849594,476.0,16.0,8.0
4.431153051747042,475.0,17.0,8.0
4.5272592309767985,474.0,18.0,8.0
4.533957132324139,473.0,19.0,8.0
4.562240306489575,472.0,20.0,8.0
4.677549319483456,472.0,19.0,9.0
4.715988360760229,471.0,20.0,9.0
4.739633172841635,470.0,21.0,9.0
4.782432011426092,469.0,22.0,9.0
4.815649476914096,468.0,23.0,9.0
4.865077275896249,468.0,22.0,10.0
4.904026003337482,468.0,21.0,11.0
4.91646093467865,467.0,22.0,11.0
4.920558548719036,466.0,23.0,11.0
4.934572881763214,465.0,24.0,11.0
4.94943152405319,464.0,25.0,11.0
5.01963348455585,463.0,26.0,11.0
5.043856028431815,462.0,27.0,11.0
5.144519736333785,461.0,28.0,11.0
5.172449186173579,461.0,27.0,12.0
5.1928484741736005,460.0,28.0,12.0
5.201215171571432,459.0,29.0,12.0
5.304050305776284,458.0,30.0,12.0
5.327400672475443,457.0,31.0,12.0
5.341097029765836,457.0,30.0,13.0
5.429396473914187,457.0,29.0,14.0
5.430473253640246,456.0,30.0,14.0
5.4465067828412534,456.0,29.0,15.0
5.476408883391626,455.0,30.0,15.0
5.560858354114125,454.0,31.0,15.0
5.572199085540914,453.0,32.0,15.0
5.575907127755389,452.0,33.0,15.0
5.612471049886638,452.0,32.0,16.0
5.629961596420371,451.0,33.0,16.0
5.62999144283877,450.0,34.0,16.0
5.633194936286857,449.0,35.0,16.0
5.63492638585624,449.0,34.0,17.0
5.645831961579665,448.0,35.0,17.0
5.652306903604169,448.0,34.0,18.0
5.680496011279034,447.0,35.0,18.0
5.727867668524753,446.0,36.0,18.0
5.73397287890803,445.0,37.0,18.0
5.751410773774279,445.0,36.0,19.0
5.784884177503199,444.0,37.0,19.0
5.789105873410233,443.0,38.0,19.0
5.794513389694127,442.0,39.0,19.0
5.823921709886779,442.0,38.0,20.0
5.824537260753252,441.0,39.0,20.0
5.824695312388886,440.0,40.0,20.0
5.8316146213172795,439.0,41.0,20.0
5.8346305831257865,438.0,42.0,20.0
5.8575997578919585,437.0,43.0,20.0
5.915877747386735,436.0,44.0,20.0
5.998252458497579,435.0,45.0,20.0
6.034532731656233,435.0,44.0,21.0
6.060642936285256,434.0,45.0,21.0
6.067448698275849,434.0,44.0,22.0
6.074259266782621,434.0,43.0,23.0
6.1100020646356334,433.0,44.0,23.0
6.1321666240162696,432.0,45.0,23.0
6.140501694295861,431.0,46.0,23.0
6.151312984792271,430.0,47.0,23.0
6.158637045320323,429.0,48.0,23.0
6.167244691071923,428.0,49.0,23.0
6.174295178659485,427.0,50.0,23.0
6.184628455385393,427.0,49.0,24.0
6.187934583881415,426.0,50.0,24.0
6.188279535172396,425.0,51.0,24.0
6.192032820514298,424.0,52.0,24.0
